,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
1108,2008-04-19 12:00:00,2008_1507,761228.47083,-772087.9509,-0.40576,80.01535,-0.009693760769683271,-0.17367163734690444,183.19474077828283,0.17394196335736395,2.1429998874664307,-6.7210001945495605
1109,2008-04-20 12:00:00,2008_1507,771166.95,-783361.15,-0.44945,79.87785,0.06673332098436542,-0.23040079106065914,163.84686095164363,0.23987050808921853,5.835999965667725,-7.775000095367432
1110,2008-04-21 12:00:00,2008_1507,789241.07699,-793502.34134,-0.15436,79.69534,0.09161749100257474,-0.25126314043225173,159.9667455838628,0.26744519138972067,6.105000019073486,-5.563000202178955
1112,2008-04-18 12:00:00,2008_1516,760688.3,-953826.2,-6.42721,78.77234,-0.017505212143247663,-0.12517233538783198,187.96111867822992,0.12639045058319873,0.6449999809265137,-0.12999999523162842
1114,2008-04-18 12:00:00,2008_1518,738079.95,-849974.55,-4.03044,79.63548,0.025568398025634306,-0.15403329369236707,170.57525522905223,0.15614095728961144,1.9639999866485596,-1.8329999446868896
1115,2008-04-19 12:00:00,2008_1518,748473.76928,-858574.7962,-3.91932,79.51359,-0.01737712189445509,-0.1954828905156749,185.07985939107476,0.19625372569634975,1.090999960899353,-5.486000061035156
1116,2008-04-20 12:00:00,2008_1518,758440.65,-872292.6,-3.99364,79.35892,-0.10654214399498804,-0.2607931625254105,202.22154686650063,0.28171670533898757,3.509000062942505,-5.315999984741211
1117,2008-04-21 12:00:00,2008_1518,766278.56715,-895336.43638,-4.4411,79.15234,-0.05223652791056088,-0.22370500546200633,193.14342045706383,0.2297228423925385,2.3570001125335693,-1.4579999446868896
1118,2008-04-22 12:00:00,2008_1518,775417.35,-912955.4,-4.65712,78.9754,-0.022537100464476434,-0.2311974916187801,185.56759433626547,0.23229335123537606,1.8519999980926514,-4.589000225067139
1120,2008-04-18 12:00:00,2008_1520,877461.45,-1696535.1,-17.65164,72.49992,-0.07877531732123867,-0.13886925146525317,209.5646161330256,0.15965656773706982,1.0529999732971191,-2.078000068664551
1122,2008-04-18 12:00:00,2008_1531,749268.45,-810371.55,-2.24363,79.83729,0.03825294687874632,-0.18096958322257065,168.0646357129201,0.1849683161967452,2.171999931335449,-3.421999931335449
1123,2008-04-19 12:00:00,2008_1531,762310.03649,-819608.31207,-2.07445,79.69401,-0.012474215705484251,-0.20031756484284813,183.56333306771194,0.20070558747089134,1.7319999933242798,-6.23199987411499
1124,2008-04-20 12:00:00,2008_1531,773308.05,-833015.5,-2.12868,79.53549,0.010705295376995896,-0.2437676174462391,177.48541504899146,0.24400257102031672,4.7179999351501465,-6.9079999923706055
1125,2008-04-21 12:00:00,2008_1531,788315.20452,-847821.86815,-2.08295,79.34265,-0.03323458403203672,-0.17592618479576688,190.69779450517808,0.17903787329103535,3.688999891281128,-3.436000108718872
1126,2008-04-22 12:00:00,2008_1531,796562.6,-860908.75,-2.22315,79.20346,-0.026249230071903995,-0.2558700296810584,185.85737641015118,0.257212935460784,3.6040000915527344,-6.531000137329102
1128,2008-04-18 12:00:00,2008_1533,728634.8,-851903.65,-4.4596,79.67857,0.026800140330271248,-0.1487666661407347,169.78776696980844,0.15116139876420517,1.8530000448226929,-1.4259999990463257
1129,2008-04-19 12:00:00,2008_1533,738749.01952,-860166.52911,-4.3426,79.56084,-0.008144555719226357,-0.16931079819379694,182.7540430331744,0.16950657855341253,1.034000039100647,-5.394000053405762
1131,2008-04-18 12:00:00,2008_1534,805769.15,-709425.95,3.63824,80.1132,-0.029852655874114217,-0.15591121484291062,190.83935430225728,0.1587434659333433,2.7809998989105225,-7.359000205993652
1133,2008-04-18 12:00:00,2008_1538,786730.3,-1552810.35,-18.13098,74.03078,0.07788805499533276,0.1431032786409592,28.558507600578935,0.16292666285402152,-0.6510000228881836,-0.671999990940094
1134,2008-04-19 12:00:00,2008_1538,787145.32555,-1538739.60572,-17.90786,74.14269,-0.0725134095140019,-0.10766214625193386,213.9613479476273,0.1298049779281139,-0.37400001287460327,0.4970000088214874
1136,2008-04-18 12:00:00,2008_1540,888059.9,-1094778.5,-5.9518,77.04018,-0.16060762255900746,-0.1830923896096466,221.2570582609504,0.24355211261047854,-1.156000018119812,0.21899999678134918
1137,2008-04-19 12:00:00,2008_1540,887248.85577,-1115805.76692,-6.50317,76.89473,-0.16381342454545259,-0.1904551806060304,220.69933004916444,0.25121308461341013,-1.1469999551773071,-4.269000053405762
1139,2008-04-18 12:00:00,2008_1541,812989.3,-954498.0,-4.57745,78.46336,-0.053517068734150575,-0.28295185835231235,190.710314910193,0.28796845450660535,1.1030000448226929,-1.746999979019165
1141,2008-04-18 12:00:00,2008_1542,731216.55,-840664.95,-3.98304,79.74108,0.031092879480173537,-0.15240990234407287,168.46941507813995,0.15554917385476025,1.9639999866485596,-1.8329999446868896
1142,2008-04-19 12:00:00,2008_1542,741885.57051,-848837.51267,-3.84652,79.62044,-0.010033171522356846,-0.20007901015379853,182.87075219599802,0.20033041415352001,1.152999997138977,-5.573999881744385
1143,2008-04-20 12:00:00,2008_1542,752608.95947,-862424.07793,-3.88984,79.46214,-0.028183669550559357,-0.21483972090533243,187.47364834532317,0.21668046729693072,3.9049999713897705,-5.179999828338623
1145,2008-04-18 12:00:00,2008_1543,784750.45,-852415.2,-2.36672,79.33394,-0.05896531283013663,-0.14639514809980095,201.93868265074383,0.15782410305247588,2.121999979019165,-3.433000087738037
1146,2008-04-19 12:00:00,2008_1543,789569.23286,-865171.3709,-2.61585,79.21805,-0.06189034263460781,-0.1814297935019909,198.83582146299347,0.19169555154359794,1.4459999799728394,-5.765999794006348
